titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime
Title: J82-3002 (by g),109.0,26.0,35.0,35.0,16.0,19.0,8.0,4.0,3.1312306722005207e-06,1.1919191201527914,1.079774224758148,0.28518741130828856,0.09871453841527303,2.431934718290965,0.00018435319264729818,5.087717497348786
Title: ECCV_2016_99_abs (by g),211.0,44.0,58.0,50.0,30.0,20.0,18.0,7.0,5.118052164713541e-06,1.548696255683899,2.532009824117025,0.5193107525507609,0.301837170124054,3.8662645260492963,0.00024248361587524413,8.768366130193074
Title: I05-5003 (by g),125.0,32.0,41.0,47.0,18.0,29.0,12.0,3.0,5.030632019042969e-06,1.4598969062169393,1.4885329922040305,0.3759448329607646,0.1705045183499654,2.0329364498456317,0.00018434921900431316,5.528005079428355
Title: CVPR_2008_256_abs (by g),224.0,45.0,59.0,31.0,26.0,5.0,14.0,12.0,4.939238230387369e-06,1.7234400629997253,2.299877238273621,0.61672971645991,0.2876018842061361,3.415904990832011,0.0002594470977783203,8.343818279107412
Title: P01-1056 (by g),112.0,23.0,30.0,47.0,21.0,26.0,4.0,0.0,6.500879923502604e-06,0.9822094003359477,1.3416975498199464,0.3531450351079305,0.08336058060328165,2.364603281021118,0.00016896724700927735,5.125191315015157
Title: ICCV_2003_151_abs (by g),207.0,52.0,66.0,59.0,36.0,23.0,18.0,8.0,4.597504933675131e-06,2.130547241369883,2.611996865272522,0.47532320419947305,0.4692770997683207,10.993416674931844,0.0003173947334289551,16.680883077780404
Title: C90-3063 (by g),120.0,30.0,40.0,31.0,17.0,14.0,13.0,5.0,4.5657157897949215e-06,3.563958442211151,9.67216647863388,1.1166210333506266,0.7565601666768392,13.913952195644379,0.00020091931025187175,29.023463801542917
Title: J05-4003 (by g),138.0,31.0,39.0,34.0,21.0,13.0,11.0,5.0,4.700819651285807e-06,3.456458298365275,10.585457003116607,1.191102182865143,0.7487070242563884,12.268669136365254,0.00019658406575520833,28.250594929854074
Title: C00-2123 (by g),100.0,30.0,33.0,20.0,16.0,4.0,12.0,9.0,7.4982643127441405e-06,2.5066444873809814,9.56034111181895,0.9181540290514628,0.6549378315607707,10.878196239471436,0.00016316572825113932,24.518444363276164
Title: E91-1012 (by g),138.0,31.0,33.0,36.0,20.0,16.0,9.0,5.0,5.1657358805338544e-06,3.5956095178922016,9.086690318584441,1.1363067189852396,0.805503535270691,10.941032004356384,0.00020008484522501628,25.565347345670066
Title: J86-3001 (by g),313.0,64.0,99.0,147.0,57.0,90.0,20.0,6.0,6.46511713663737e-06,2.0644424597422284,3.3932839830716452,0.8295496662457784,0.7930369774500529,4.9186427672704065,0.0012338836987813315,12.000196202596028
Title: P86-1011 (by g),43.0,10.0,14.0,16.0,12.0,4.0,2.0,0.0,3.830591837565104e-06,0.5169125000635783,0.548260772228241,0.29216388463973997,0.06637783447901408,1.0380995313326518,7.993777592976889e-05,2.4618982911109923
Title: E95-1033 (by g),50.0,11.0,15.0,9.0,6.0,3.0,4.0,3.0,5.002816518147787e-06,0.5343273798624675,0.5334974964459737,0.1588225801785787,0.05056888262430827,0.898638661702474,7.750193277994792e-05,2.1759375055631
Title: W02-1602 (by g),284.0,64.0,83.0,85.0,49.0,36.0,20.0,7.0,4.148483276367187e-06,1.9635496973991393,3.160811944802602,0.6302635312080384,0.7332302689552307,4.741415786743164,0.00039581457773844403,11.229671192169189
Title: C04-1106 (by g),138.0,23.0,27.0,27.0,20.0,7.0,0.0,0.0,6.647904713948568e-06,1.8622568368911743,0.9338749368985494,0.5192235708236694,0.09612897634506226,2.1541550318400065,0.0001384139060974121,5.565784414609273
Title: ECCV_2016_204_abs (by g),196.0,36.0,40.0,48.0,26.0,22.0,9.0,2.0,5.14984130859375e-06,1.6427388866742452,5.259983285268148,0.6256999810536702,0.19258344570795696,15.46550158659617,0.0002560138702392578,23.18676834901174
Title: INTERSPEECH_2006_21_abs (by g),165.0,40.0,63.0,56.0,27.0,29.0,13.0,1.0,7.716814676920573e-06,4.082995347181956,14.836598193645477,1.325739316145579,1.6350615620613098,16.045389131704965,0.0002653797467549642,37.92605664730072
Title: NIPS_2015_18_abs (by g),162.0,33.0,37.0,34.0,28.0,6.0,4.0,4.0,4.8478444417317706e-06,2.9916805664698285,9.930595910549163,1.0865742961565654,0.7795545379320781,14.709171267350515,0.00021271705627441407,29.497794143358867
Title: CVPR_1994_10_abs (by g),196.0,38.0,47.0,45.0,33.0,12.0,8.0,5.0,4.784266153971354e-06,4.31913203795751,11.464436626434326,1.4496660828590393,0.7871427456537883,13.664601095517476,0.0002431472142537435,31.685226519902546
