titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime
Title: CVPR_2008_256_abs (by l),224.0,54.0,59.0,38.0,20.0,18.0,34.0,20.0,3.4610430399576825e-06,1.4813767790794372,2.9261310338974,0.6926899433135987,1.1807116945584615,1.6859687964121501,0.00044797261555989585,7.967329680919647
Title: P01-1056 (by l),112.0,20.0,23.0,6.0,5.0,1.0,13.0,13.0,3.921985626220703e-06,0.8966393073399862,0.939888346195221,0.43678452968597414,0.18115219275156658,0.4626235802968343,0.00013195276260375978,2.9172238310178122
Title: ICCV_2003_151_abs (by l),207.0,53.0,58.0,53.0,26.0,27.0,25.0,14.0,3.329912821451823e-06,1.5628928422927857,2.9449703812599184,0.8865378936131795,1.350151777267456,2.014259572823842,0.00032604535420735676,8.75914184252421
Title: C90-3063 (by l),120.0,31.0,39.0,17.0,7.0,10.0,21.0,11.0,3.5007794698079428e-06,1.0950479706128438,1.4454389015833538,0.668806250890096,0.40656829277674356,1.2256147106488546,0.00022302071253458658,4.8417026480038965
Title: J05-4003 (by l),138.0,35.0,38.0,37.0,12.0,25.0,22.0,10.0,3.5444895426432293e-06,1.071276307106018,1.6536301891009013,0.5494339942932129,0.35778830846150717,1.0355180104573567,0.0002155939737955729,4.667865947882334
Title: C00-2123 (by l),100.0,29.0,29.0,10.0,6.0,4.0,19.0,14.0,3.850460052490234e-06,0.928630530834198,1.3792470534642538,0.41299222310384115,0.19848533868789672,0.9567124168078105,0.00017372767130533853,3.876245141029358
Title: E91-1012 (by l),138.0,26.0,30.0,13.0,7.0,6.0,16.0,10.0,3.4570693969726562e-06,1.0716023802757264,1.3657811244328817,0.5473236560821533,0.1893113056818644,0.8312757690747579,0.0001616636912027995,4.005459356307983
Title: J86-3001 (by l),313.0,71.0,93.0,89.0,42.0,47.0,36.0,16.0,3.910064697265625e-06,1.9644335349400839,4.433433898289999,1.3310354113578797,2.2029977758725483,2.622598151365916,0.0004486163457234701,12.554951298236848
Title: P86-1011 (by l),43.0,12.0,14.0,8.0,3.0,5.0,6.0,2.0,3.5444895426432293e-06,0.6222299615542094,0.6182199199994405,0.374960732460022,0.10765334765116373,0.44366472562154136,8.78453254699707e-05,2.1668200771013897
Title: E95-1033 (by l),50.0,18.0,19.0,4.0,2.0,2.0,14.0,11.0,4.6173731486002605e-06,0.5979811747868856,0.8666202346483867,0.3049495498339335,0.10667265256245931,0.489021364847819,0.00010883410771687826,2.3653584281603495
Title: W02-1602 (by l),284.0,60.0,66.0,49.0,28.0,21.0,32.0,21.0,4.172325134277344e-06,1.7774496674537659,3.9864518443743386,0.9829110980033875,1.5862718224525452,1.9551793376604716,0.00035781065622965494,10.288625752925872
Title: C04-1106 (by l),138.0,29.0,31.0,17.0,12.0,5.0,14.0,10.0,3.540515899658203e-06,0.9426137288411458,1.3758005499839783,0.4676631689071655,0.22608476479848225,0.9610546906789144,0.00017749071121215821,3.973397934436798
Title: ECCV_2016_204_abs (by l),196.0,43.0,48.0,25.0,16.0,9.0,22.0,16.0,3.6676724751790363e-06,1.4345725337664286,2.2783135970433555,0.8529149373372396,0.6941105643908183,1.3389577428499857,0.0002605279286702474,6.599133570988973
Title: INTERSPEECH_2006_21_abs (by l),165.0,45.0,53.0,37.0,10.0,27.0,35.0,11.0,3.846486409505208e-06,1.264778463045756,2.0439289887746175,0.8334322373072306,0.6144015034039815,1.3600512146949768,0.00026310284932454426,6.116859356562297
Title: NIPS_2015_18_abs (by l),162.0,32.0,37.0,13.0,10.0,3.0,21.0,18.0,3.8941701253255206e-06,1.103136662642161,1.678126041094462,0.6027219494183859,0.40900317827860516,1.0977552612622579,0.00020239750544230142,4.89094938437144
